2330,2454,2303,3711,2408,3034,3443,3661,2379,6415
3529,2344,6239,6531,8016,5269,2317,2382,3231,6669
2356,2357,2395,2376,2352,3702,3036,2308,2383,3037
8046,3189,2327,3017,2059,3653,2345,2301,2360,6271
2377,3008,2409,3481,2393,2881,2882,2891,2886,2884
2885,2890,2880,2883,2887,2892,2888,2801,2834,5880
5876,2812,1301,1303,1326,6505,2002,1101,1102,2603
2609,2615,2618,2610,2207,2912,1216,1402,9910,9904
2105,2412,3045,4904,9933,6806,9958,6446,4743,6550
5871,8454,9921,9914,8464,9945,2474,2324,6409,8299
